CMA_name,CT_ID_NUM,GEO_ID,Population
Toronto,5350402.13,5350402.13,5264.00
Toronto,5350403.01,5350403.01,8143.00
Toronto,5350403.03,5350403.03,10128.00
Toronto,5350403.04,5350403.04,4257.00
Toronto,5350403.05,5350403.05,3395.00
Toronto,5350403.07,5350403.07,7222.00
Toronto,5350403.09,5350403.09,5118.00
Toronto,5350403.1,5350403.1,5051.00
Toronto,5350403.11,5350403.11,7311.00
Toronto,5350403.12,5350403.12,6699.00
Toronto,5350403.13,5350403.13,6377.00
Toronto,5350403.14,5350403.14,6810.00
Toronto,5350410.02,5350410.02,4562.00
Toronto,5350410.03,5350410.03,7085.00
Toronto,5350410.04,5350410.04,3868.00
Toronto,5350410.05,5350410.05,6652.00
Toronto,5350410.07,5350410.07,3776.00
Toronto,5350410.09,5350410.09,4863.00
Toronto,5350410.1,5350410.1,4131.00
Toronto,5350410.11,5350410.11,4234.00
Toronto,5350410.12,5350410.12,5795.00
Toronto,5350410.13,5350410.13,7177.00
Toronto,5350410.14,5350410.14,6355.00
Toronto,5350410.15,5350410.15,1924.00
Toronto,5350411.01,5350411.01,5716.00
Toronto,5350411.04,5350411.04,5977.00
Toronto,5350411.07,5350411.07,4536.00
Toronto,5350411.08,5350411.08,2128.00
Toronto,5350411.09,5350411.09,6409.00
Toronto,5350411.12,5350411.12,5687.00
Toronto,5350411.15,5350411.15,4133.00
Toronto,5350411.16,5350411.16,6104.00
Toronto,5350411.17,5350411.17,5479.00
Toronto,5350411.18,5350411.18,7911.00
Toronto,5350411.19,5350411.19,5710.00
Toronto,5350411.2,5350411.2,17558.00
Toronto,5350411.21,5350411.21,2527.00
Toronto,5350411.22,5350411.22,5405.00
Toronto,5350411.23,5350411.23,3925.00
Toronto,5350411.24,5350411.24,7281.00
Toronto,5350411.25,5350411.25,3457.00
Toronto,5350411.26,5350411.26,5352.00
Toronto,5350411.27,5350411.27,4225.00
Toronto,5350412.01,5350412.01,6643.00
Toronto,5350412.02,5350412.02,7767.00
Toronto,5350412.04,5350412.04,4718.00
Toronto,5350412.06,5350412.06,3785.00
Toronto,5350412.08,5350412.08,2770.00
Toronto,5350412.1,5350412.1,6264.00
Toronto,5350412.11,5350412.11,4618.00
Toronto,5350412.12,5350412.12,4251.00
Toronto,5350412.13,5350412.13,4306.00
Toronto,5350412.14,5350412.14,3632.00
Toronto,5350412.15,5350412.15,5425.00
Toronto,5350412.18,5350412.18,8074.00
Toronto,5350412.19,5350412.19,9641.00
Toronto,5350412.2,5350412.2,5804.00
Toronto,5350412.21,5350412.21,18.00
Toronto,5350412.22,5350412.22,7599.00
Toronto,5350412.23,5350412.23,11859.00
Toronto,5350412.24,5350412.24,8276.00
Toronto,5350413,5350413,12909.00
Toronto,5350420.03,5350420.03,6430.00
Toronto,5350420.05,5350420.05,6627.00
Toronto,5350420.06,5350420.06,5431.00
Toronto,5350420.08,5350420.08,4596.00
Toronto,5350420.09,5350420.09,4256.00
Toronto,5350420.1,5350420.1,3879.00
Toronto,5350420.11,5350420.11,6739.00
Toronto,5350420.13,5350420.13,5397.00
Toronto,5350420.14,5350420.14,6814.00
Toronto,5350420.15,5350420.15,2523.00
Toronto,5350421.01,5350421.01,6747.00
Toronto,5350421.04,5350421.04,3710.00
Toronto,5350421.05,5350421.05,3688.00
Toronto,5350421.06,5350421.06,3854.00
Toronto,5350421.07,5350421.07,4339.00
Toronto,5350422.02,5350422.02,5182.00
Toronto,5350422.03,5350422.03,6955.00
Toronto,5350422.04,5350422.04,4189.00
Toronto,5350422.05,5350422.05,7332.00
Toronto,5350422.06,5350422.06,5332.00
Toronto,5350423.01,5350423.01,3810.00
Toronto,5350423.02,5350423.02,7523.00
Toronto,5350424.04,5350424.04,2597.00
Toronto,5350424.05,5350424.05,8790.00
